Date,Futures Yield (corey)
20230428,1911.87962
20230531,1991.600671
20230630,2024.899933
20230731,2060.371063
20230831,2134.490015
20230929,2324.97759
20231031,2309.967297
20231130,2202.731669
20231229,2084.572199
20240131,2116.265963
20240229,2148.610888
20240329,2162.533897
20240430,2206.040209
20240531,2110.795397
20240628,2144.092618
20240731,2079.686514
20240830,2028.486063
20240930,2000.572952
20241031,1919.911153
20241129,1949.509332
20241231,1963.396997
20250131,1911.042377
20250228,1907.011316
20250331,1841.41381
20250430,1732.282539
20250530,1696.889847
20250630,1723.654817
20250731,1755.027435
20250829,1744.346295
20250930,1758.662692
20251031,1781.48901
20251128,1794.688459
20251231,1733.623173
