,SocGen CTA Trend Index (Excess),"Top Down (Small, Net)","Top Down (Med, Net)",Bottom Up (Net),Trend Replication (Net)
7/13/23,2.458506335,1.167999352,0.832809395,11.75421068,234.8864563
7/14/23,2.471754187,1.174514015,0.836106034,11.78432742,235.7260486
7/17/23,2.477530498,1.175258254,0.835212287,11.79666946,235.9021088
7/18/23,2.466661858,1.177037203,0.833917564,11.85933134,236.2053647
7/19/23,2.454803537,1.177183539,0.83297013,11.80225476,235.1838107
7/20/23,2.4481286,1.180542846,0.835492829,11.64184212,233.145693
7/21/23,2.456954393,1.179577621,0.834653427,11.67351814,233.6889625
7/24/23,2.456904113,1.181130636,0.833875176,11.68703441,233.8242275
7/25/23,2.455268438,1.183744155,0.835956893,11.75551967,234.6868192
7/26/23,2.46402468,1.180362849,0.832746022,11.69297025,233.961325
7/27/23,2.467879136,1.185628621,0.838794073,11.74046447,234.7698316
7/28/23,2.478148961,1.184193338,0.839796485,11.95819147,237.8103696
7/31/23,2.475563503,1.181917263,0.837472831,12.0194558,238.1890344
8/1/23,2.480832032,1.185465923,0.841584779,11.93969819,238.6834997
8/2/23,2.449719393,1.184779179,0.839541044,11.54020001,233.9158119
8/3/23,2.437593526,1.182953101,0.837875341,11.49972289,233.7472869
8/4/23,2.438204048,1.176300923,0.833787162,11.41757586,231.6721231
8/7/23,2.439068318,1.178992231,0.837306528,11.47236111,232.5888868
8/8/23,2.421907288,1.176584374,0.831604856,11.36827761,231.1772329
8/9/23,2.426178795,1.175840981,0.830963635,11.38303795,231.965408
8/10/23,2.441607997,1.177729961,0.835049532,11.47260123,233.1091084
8/11/23,2.463032334,1.180169743,0.841428833,11.49733838,234.6948696
8/14/23,2.469997586,1.185222053,0.843915713,11.55565084,235.9850857
8/15/23,2.471382967,1.181171411,0.839667767,11.47121046,234.7478701
8/16/23,2.472484848,1.179586087,0.839319293,11.46631385,234.8842584
8/17/23,2.477404767,1.175393752,0.837651794,11.43504451,234.875748
8/18/23,2.462729807,1.173415953,0.83397415,11.37882684,233.3824878
8/21/23,2.478468096,1.181637759,0.840480464,11.5101866,236.0698087
8/22/23,2.471865302,1.180356161,0.838908474,11.49831104,235.4811159
8/23/23,2.435228291,1.174522922,0.832893758,11.34842451,231.0477855
8/24/23,2.441601183,1.173613455,0.831800719,11.30879329,231.1544137
8/25/23,2.463369256,1.177726467,0.834833604,11.41420427,233.3640277
8/28/23,2.463592297,1.177682776,0.838280155,11.4449824,233.2215687
8/29/23,2.450591001,1.173837095,0.835346067,11.37039929,230.6834484
8/30/23,2.447676093,1.177896602,0.836493804,11.35731233,230.5002547
8/31/23,2.439547182,1.169282009,0.832044585,11.31353908,229.4685695
9/1/23,2.450127488,1.169594604,0.836051223,11.3794227,231.0804441
9/5/23,2.480588652,1.17863711,0.844320519,11.61035569,235.7407572
9/6/23,2.483116704,1.183477021,0.847619936,11.60372606,236.455748
9/7/23,2.476157922,1.174799091,0.842603935,11.47954758,234.3758795
9/8/23,2.483934818,1.178668035,0.842358932,11.5474025,235.614509
9/11/23,2.485028032,1.179749539,0.844941205,11.54719433,235.2562811
9/12/23,2.491071328,1.181880115,0.845219763,11.52754939,235.29766
9/13/23,2.48919059,1.18187547,0.846487148,11.55787191,235.8390139
9/14/23,2.502320748,1.186158486,0.847976382,11.71023334,238.0069671
9/15/23,2.509213768,1.185689646,0.850001213,11.67335767,237.6668179
9/18/23,2.507576254,1.186045189,0.850152512,11.62290576,237.2067982
9/19/23,2.512574656,1.189931103,0.851896384,11.65192766,237.9121269
9/20/23,2.496029952,1.18581241,0.848470859,11.55211507,236.1077239
9/21/23,2.511141273,1.192200885,0.848547745,11.5661548,237.3816383
9/22/23,2.498547482,1.190224425,0.848013003,11.52710098,236.9746071
9/25/23,2.502278298,1.198760458,0.852124838,11.63035962,239.6050891
9/26/23,2.505872328,1.199286868,0.850434933,11.61033203,240.3858451
9/27/23,2.524541841,1.211901509,0.858320849,11.90305066,245.807441
9/28/23,2.52388657,1.206135735,0.859427426,11.76664167,243.6156807
9/29/23,2.506520979,1.202837767,0.853830062,11.64638901,241.0652513
10/2/23,2.534130454,1.210026701,0.858406171,11.85295616,245.7789715
10/3/23,2.540768568,1.212194492,0.857952077,11.85105517,247.0950217
10/4/23,2.522015481,1.202833851,0.848157506,11.60731866,243.123068
10/5/23,2.493516865,1.19765338,0.842280539,11.41637331,239.8823736
10/6/23,2.494364957,1.206791423,0.847568991,11.4867937,240.6963299
10/9/23,2.468926762,1.194980081,0.840975242,11.29805661,237.2739018
10/10/23,2.456366794,1.197879049,0.843349609,11.33495974,237.0529396
10/11/23,2.44692505,1.196586602,0.841089187,11.31809872,236.3481869
10/12/23,2.466703649,1.204496052,0.848086382,11.50318456,239.8268809
10/13/23,2.459636741,1.201025919,0.848897644,11.42561715,238.568181
10/16/23,2.472324535,1.204932144,0.851355604,11.46253626,238.974022
10/17/23,2.492426888,1.214370275,0.857445675,11.58047336,241.0120454
10/18/23,2.503654568,1.217362184,0.861175104,11.60051815,242.1244432
10/19/23,2.511859165,1.217006477,0.86089264,11.57443126,241.9775539
10/20/23,2.502309545,1.209803137,0.856178843,11.45583443,240.3330443
10/23/23,2.492718909,1.200916322,0.850823681,11.3120917,237.7735304
10/24/23,2.48737609,1.205964988,0.852813759,11.351675,238.3864393
10/25/23,2.50850866,1.21333963,0.857035547,11.45830226,240.3192366
10/26/23,2.501284015,1.206548136,0.852363178,11.36320851,239.0173215
10/27/23,2.496562852,1.205148091,0.851115801,11.31309575,238.2736298
10/30/23,2.480536776,1.203181746,0.849286431,11.2194898,236.8715563
10/31/23,2.498626793,1.208210612,0.852552981,11.40068243,239.1582249
11/1/23,2.486559457,1.199851067,0.847247519,11.27033326,236.8355475
11/2/23,2.451485873,1.192815755,0.842961712,11.08201037,233.4808303
11/3/23,2.398840948,1.178593297,0.830561157,10.81914965,229.355168
11/6/23,2.409181409,1.186984746,0.838181058,10.94444961,231.2374054
11/7/23,2.412810965,1.18227434,0.834742878,10.92633603,230.7023996
11/8/23,2.402766131,1.181192744,0.833022604,10.92983024,230.5860461
11/9/23,2.418273608,1.191277481,0.837406531,10.99214987,231.6557396
11/10/23,2.437905545,1.190545946,0.840730982,11.07452772,232.7930333
11/13/23,2.436539945,1.18949359,0.841074456,11.03357945,232.2261694
11/14/23,2.387847973,1.1601949,0.820053002,10.79965905,227.7223648
11/15/23,2.382731619,1.169176182,0.82468034,10.87580412,228.9080988
11/16/23,2.386285647,1.158699768,0.817964536,10.82033833,227.5268536
11/17/23,2.382242625,1.158291344,0.816786853,10.79609774,227.1492344
11/20/23,2.375058892,1.154075176,0.815352049,10.76345827,226.723026
11/21/23,2.36692636,1.153385421,0.813340615,10.74703613,226.4732731
11/22/23,2.377337001,1.157063597,0.816279066,10.8082615,227.3776651
11/24/23,2.389930335,1.155009569,0.814359331,10.81819192,227.6311785
11/27/23,2.395106356,1.149443189,0.808343456,10.7478826,226.5236187
11/28/23,2.383498084,1.1405919,0.800963681,10.68296604,225.6429633
11/29/23,2.372039516,1.137442856,0.798205899,10.65373124,225.2230293
11/30/23,2.369459004,1.14631702,0.8019001,10.68478356,225.2759051
12/1/23,2.351711333,1.1370895,0.791640401,10.59843991,224.6402857
12/4/23,2.352122774,1.146892832,0.797811202,10.5740118,224.0599294
12/5/23,2.355759077,1.144061355,0.7945216,10.54348172,223.7443846
12/6/23,2.361003316,1.144806635,0.79345868,10.54687339,224.5018716
12/7/23,2.340683571,1.140070267,0.791580517,10.45055647,223.3370541
12/8/23,2.355223502,1.148281706,0.795952204,10.52046004,223.9016568
12/11/23,2.377183704,1.147666987,0.796852445,10.59938187,225.0052896
12/12/23,2.380856808,1.14491891,0.795090275,10.61390436,225.9575113
12/13/23,2.379957534,1.127022057,0.78062236,10.55634293,224.8070343
12/14/23,2.358739475,1.119205129,0.773374967,10.50378535,224.2707629
12/15/23,2.351187689,1.123451977,0.775082048,10.51739314,224.3577094
12/18/23,2.34953262,1.123276712,0.776532055,10.52262284,224.2252636
12/19/23,2.371191228,1.122216226,0.773147351,10.63377372,226.0759057
12/20/23,2.361760802,1.122228161,0.773118932,10.52839761,224.6142353
12/21/23,2.358935005,1.119124745,0.770234146,10.58189029,225.2773744
12/22/23,2.362419995,1.118874861,0.769852146,10.5992422,225.6298559
12/26/23,2.36580988,1.11819264,0.771088144,10.66715377,226.7528384
12/27/23,2.373787053,1.115118597,0.768598923,10.74750232,228.5288054
12/28/23,2.361991363,1.116106339,0.768512001,10.64520513,226.4408785
12/29/23,2.351387615,1.115284232,0.768564643,10.54785824,224.6474073
1/2/24,2.352424994,1.117985568,0.768978819,10.33285338,220.934087
1/3/24,2.330275395,1.120754446,0.772031345,10.19519877,218.8233104
1/4/24,2.327880376,1.124840444,0.772719252,10.16846225,218.1368093
1/5/24,2.324815961,1.124921333,0.77258938,10.15824707,217.6642559
1/8/24,2.3474938,1.125673405,0.772807802,10.26470323,219.4910952
1/9/24,2.333914763,1.125667722,0.770335861,10.23364939,218.3895202
1/10/24,2.34288708,1.129962976,0.777365522,10.32250891,219.8496239
1/11/24,2.345922725,1.127756604,0.775996942,10.30790828,219.3611584
1/12/24,2.355990654,1.124816146,0.775095479,10.34274123,219.9929279
1/16/24,2.352862152,1.128396856,0.781416055,10.31178243,218.8531043
1/17/24,2.348043243,1.129176164,0.779185988,10.23023875,216.794492
1/18/24,2.348483143,1.131048272,0.78560684,10.33803082,218.5473373
1/19/24,2.364182319,1.136507778,0.788554037,10.44399633,220.3940906
